Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SellerAge,SellerName
20,20,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,504,0,525,1029,GasA,TA,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,1,294,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139.0,88,Amy Mineo
21,60,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1158,1158,GasA,Ex,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,3,853,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325.3,96,Mary Roes
22,45,RM,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,637,637,GasA,Ex,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,1,280,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139.4,78,Shawn Kinsey
23,20,RL,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1777,1777,GasA,Ex,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,2,534,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230.0,32,Jim Rosado
24,120,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,840,0,200,1040,GasA,TA,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,2,572,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129.9,48,August Fisher
25,20,RL,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,188,668,204,1060,GasA,Ex,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,1,270,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154.0,20,Mark Marasco
26,20,RL,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1566,1566,GasA,Ex,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,3,890,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256.3,69,Kara Poteet
27,20,RL,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,234,486,180,900,GasA,TA,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,2,576,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134.8,98,Maria Neil
28,20,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1218,0,486,1704,GasA,Ex,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,3,772,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306.0,34,William Michl
29,20,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1277,0,207,1484,GasA,TA,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,1,319,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207.5,55,Roselyn Pinto
30,30,RM,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,520,520,GasA,Fa,N,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,1,240,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68.5,61,Margarita Grose
31,70,C (all),8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,0,0,649,649,GasA,TA,N,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,1,250,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40.0,78,Robert Hudgins
32,20,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,1,271,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149.35,75,Michael Porter
33,20,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1234,1234,GasA,Ex,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,2,484,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179.9,19,Norma Griffith
34,20,RL,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,2,447,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165.5,95,Walter Dixon
35,120,RL,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1153,0,408,1561,GasA,Ex,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,2,556,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277.5,95,Don Valdez
36,60,RL,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1117,1117,GasA,Ex,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,3,691,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309.0,48,Charlotte Easterwood
37,20,RL,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0,0,1097,1097,GasA,Ex,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,2,672,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145.0,44,Concetta Steib
38,20,RL,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,2,498,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153.0,62,Rashad Moore
39,20,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,731,0,326,1057,GasA,TA,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,1,246,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109.0,56,Deloris Vanhoose
40,90,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,0,0,0,0,GasA,TA,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,0,0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82.0,33,Richard Sipple
41,20,RL,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,643,0,445,1088,GasA,Ex,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,2,440,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160.0,72,Connie Martinez
42,20,RL,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,967,0,383,1350,GasA,Gd,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,1,308,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170.0,86,Ryan Adams
43,85,RL,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,747,93,0,840,GasA,Gd,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,2,504,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144.0,23,Brenda Hartman
44,20,RL,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,280,491,167,938,GasA,TA,Y,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,1,308,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130.25,65,Anna Frank
45,20,RL,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,179,506,465,1150,GasA,Ex,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,1,300,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141.0,60,Carolina Shaw
46,120,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,456,0,1296,1752,GasA,Ex,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,2,576,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319.9,98,William Sharp
47,50,RL,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1351,0,83,1434,GasA,Ex,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,2,670,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239.686,99,Brent Stout
48,20,FV,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1632,1656,GasA,Ex,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,3,826,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,249.7,63,Mary Rainville
49,190,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,736,736,GasA,Gd,Y,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,0,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,113.0,71,Joseph Carter
50,20,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,763,0,192,955,GasA,Ex,Y,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,1,386,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127.0,70,Rachel Sumney
51,60,RL,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,182,0,612,794,GasA,Gd,Y,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,2,388,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,177.0,40,William Johns
52,50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,816,816,GasA,TA,Y,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,2,528,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,114.5,51,Russell Watson
53,90,RM,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,104,712,0,816,GasA,TA,N,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,2,516,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,110.0,95,Elizabeth Coronado
54,20,RL,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,1810,0,32,1842,GasA,Gd,Y,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,3,894,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,385.0,81,Oscar Collins
55,80,RL,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,384,0,0,384,GasA,TA,Y,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,2,572,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,130.0,44,Mike Bryant
56,20,RL,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,490,0,935,1425,GasA,Gd,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,2,576,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,180.5,22,Sibyl Gibson
57,160,FV,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,649,0,321,970,GasA,Ex,Y,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,2,480,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml,172.5,43,Donna Martinez
58,60,RL,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,860,860,GasA,Ex,Y,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,2,565,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,196.5,66,Micah Bailey
59,60,RL,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,0,0,1410,1410,GasA,Ex,Y,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,3,641,Y,192,0,37,0,0,0,0,10,2006,New,Partial,438.78,32,Corinne Hood
60,20,RL,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,632,0,148,780,GasA,Ex,Y,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,1,352,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,124.9,82,Viola Miller
61,20,RL,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,941,0,217,1158,GasA,Ex,Y,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,2,576,Y,0,50,0,0,0,0,0,5,2006,New,Partial,158.0,65,Barbara Board
62,75,RM,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,530,530,GasA,TA,N,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,1,288,N,0,0,144,0,0,0,0,3,2007,WD,Normal,101.0,72,Renee Deere
63,120,RL,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1346,1370,GasA,Ex,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,2,484,Y,120,49,0,0,0,0,0,10,2007,WD,Normal,202.5,40,Rosie Murphy
64,70,RM,10300,Pave,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,0,0,576,576,GasA,Gd,Y,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,2,480,Y,12,11,64,0,0,0,0,4,2010,WD,Normal,140.0,28,Phyllis Henderson
